k,silhouette
2,0.2476145263093207
3,0.180099695717569
4,0.20088638877152634
5,0.18656315783344943
6,0.16384608071449705
7,0.16216883269663174
8,0.15827052691412358
9,0.1566571199988286
10,0.1575104794757535
